"Pentatonic Voicings
Diminished Chords",,,,,,,,,
"
                 Top note →


Scale
↓
",1,3,5,7,maj7,9,11,13,count
"Pentatonic
""dim-maj7""",-,-,"5
9
maj7

3
1",-,-,"9
maj7
3

1
5",-,-,2
"Pentatonic
""dim-maj7""
(from 3)",-,-,-,"7
11
9

5
3",-,-,"11
9
5

3
7",-,2
"Pentatonic
""dim-maj7""
(from 5)","1
13
11

7
5",-,-,-,-,-,-,"13
11
7

5
1",2
"Pentatonic
""dim-maj7""
(from 7)",-,"3
maj7
13

1
7",-,-,"maj7
13
1

7
3",-,-,-,2
"Pentatonic
""Dominant""
♭2
(from 2)","1
5
9

7
3",-,"5
9
7

3
1",-,-,"9
7
3

1
5",-,-,3
"Pentatonic
""Dominant""
♯2
(from 2)","1
5
9

7
3",-,-,-,-,"9
7
11

1
5",-,-,2
"Pentatonic
""Dominant""
♭2
(from 4)",-,"3
7
11

1
5",-,"7
11
1

5
3",-,-,"11
1
5

7
3",-,3
"Pentatonic
""Dominant""
♭2
(from 6)","1
13
3

7
5",-,"5
1
13

3
7",-,-,-,-,"13
3
7

5
1",3
"Pentatonic
""Dominant""
♭2
(from maj7)",-,"3
maj7
5

1
7",-,"7
3
maj7

5
1","maj7
5
1

7
3",-,-,-,3
total voicings:,4,3,3,3,2,3,2,2,22
