"Pentatonic Voicings
Dominant Chords",,,,,,,,,,,
"
                 Top note →


Scale
↓
",1,3,5,7,♭9,9,♯9,♯11,♭13,13,count
"Pentatonic
""dominant""","1
5
9

7
3","3
1
5

9
7","5
9
7

3
1","7
3
1

5
9",-,"9
7
3

1
5",-,-,-,-,5
"Pentatonic
""dominant
1-3-5-6-7""","1
13
3

7
5",-,"5
1
13

3
7",-,-,-,-,-,-,"13
3
7

5
1",3
"Pentatonic
♭3
(from 5)",-,-,"5
9
13

3
7",-,-,"9
13
3

7
5",-,-,-,"13
3
7

5
9",3
"Pentatonic
""dominant""
♭2 (♭9)","1
5
♭9

7
3","3
1
5

♭9
7","5
♭9
7

3
1","7
3
1

5
♭9","♭9
7
3

1
5",-,-,-,-,-,5
"Pentatonic
""dominant""
♯2 (♯9)","1
5
♯9

7
3",-,"5
♯9
7

3
1",-,-,-,"♯9
7
3

1
5",-,-,-,3
"Pentatonic
""dominant""
♭2
(from 6)",-,-,"5
♭9
13

3
7",-,"♭9
13
3

7
5",-,-,-,-,"13
3
7

5
♭9",3
"Pentatonic
""dominant""
♭2
(from ♭3)",-,-,"5
♯9
7

3
♭9",-,"♭9
5
♯9

7
3",-,"♯9
7
3

♭9
5",-,-,-,
"Pentatonic
""dominant""
♭2, ♭5","1
♯11
♭9

7
3","3
1
♯11

♭9
7",-,"7
3
1

♯11
♭9","♭9
7
3

1
♯11",-,-,"♯11
♭9
7

3
1",-,-,5
"Pentatonic
""dominant""
♭2, ♯5","1
♭13
♭9

7
3","3
1
♭13

♭9
7",-,"7
3
1

♭13
♭9","♭9
7
3

1
♭13",-,-,-,"♭13
♭9
7

3
1",-,5
"Pentatonic
""dominant""
♯2, ♭5","1
♯11
♯9

7
3",-,-,-,-,-,"♯9
7
3

1
♯11","♯11
♯9
7

3
1",-,-,3
"Pentatonic
""dominant""
♯2, ♯5","1
♭13
♯9

7
3",-,-,-,-,-,"♯9
7
3

1
♭13",-,"♭13
♯9
7

3
1",-,3
"Pentatonic
♭6
(from 2)",-,-,-,-,-,"9
13
3

7
♯11",-,"♯11
9
13

3
7",-,"13
3
7

♯11
9",3
"Pentatonic
""minor-major 7""
(from 5)",-,-,-,-,-,"9
13
♯11

7
5",-,-,-,"13
♯11
7

5
9",2
"Pentatonic
""diminished steps""",,"3
13
♯11

7
5",-,-,-,-,-,-,-,"13
#11
7

5
3",2
"WT
(from 2)",-,"3
7
♯11

9
♭13",-,"7
♯11
9

♭13
3",-,"9
♭13
3

7
♯11",-,"♯11
9
♭13

3
7","♭13
3
7

♯11
9",-,5
"WT
(from 3)","1
b13
3

7
♯11","3
7
♯11

1
♭13",-,"7
♯11
1

♭13
3",-,-,-,"♯11
1
♭13

3
7","♭13
3
7

♯11
1",-,5
"WT
(from ♭6)","1
♭13
9

7
3","3
1
♭13

9
7",-,"7
3
1

♭13
9",-,"9
7
3

1
♭13",-,-,"♭13
9
7

3
1",-,5
"WT
(from 7)","1
♯11
9

7
3","3
1
♯11

9
7",-,-,-,"9
7
3

1
♯11",-,"♯11
9
7

3
1",-,-,4
"Pentatonic
""dominant""
(from ♭5)",-,"3
7
♯11

♭9
♭13",-,"7
♯11
♭9

♭13
3","♭9
♭13
3

7
♯11",-,-,"♯11
♭9
♭13

3
7","♭13
3
7

♯11
♭9",-,5
"Pentatonic
""dominant""
♭2
(from ♭5)",-,-,-,-,"♭9
13
3

7
♯11",-,-,"♯11
♭9
13

3
7",-,"13
3
7

♯11
♭9",3
"Pentatonic
""dominant""
(from ♭5)
♯2, ♭5","1
13
3

7
♯11",-,-,-,-,-,-,"♯11
1
13

3
7",-,"13
3
7

♯11
1",3
"Pentatonic
♭3
(from ♭2)",-,-,-,-,"♭9
♭13
♯9

7
3",-,"♯9
7
3

♭9
♭13",-,"♭13
♯9
7

3
♭9
",-,3
tatol voicings:,13,10,7,8,8,7,5,9,7,8,78
